GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Personal Finance Backend,com.example.personalfinance.domain.bond,CouponFrequency,0,47,0,0,0,5,0,4,0,4
Personal Finance Backend,com.example.personalfinance.domain.bond,Bond,0,81,0,4,0,9,0,4,0,2
Personal Finance Backend,com.example.personalfinance.domain.bond,Bond.CouponItem,0,18,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.transaction,TransactionStatus,0,15,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.transaction,TransactionType,0,198,0,28,0,19,0,24,0,9
Personal Finance Backend,com.example.personalfinance.domain.transaction,Transaction,0,33,0,0,0,9,0,2,0,2
Personal Finance Backend,com.example.personalfinance.controller,AuthController,0,25,0,0,0,4,0,4,0,4
Personal Finance Backend,com.example.personalfinance.controller,AccountController,0,39,0,0,0,5,0,5,0,5
Personal Finance Backend,com.example.personalfinance.controller,BondLiabilityController,0,45,0,0,0,6,0,6,0,6
Personal Finance Backend,com.example.personalfinance.controller,ReportController,0,91,0,8,0,10,0,14,0,10
Personal Finance Backend,com.example.personalfinance.controller,PlanningController,0,40,0,0,0,6,0,5,0,5
Personal Finance Backend,com.example.personalfinance.controller,TransactionController,0,100,0,0,0,10,0,6,0,6
Personal Finance Backend,com.example.personalfinance.controller,PortfolioController,0,126,0,4,0,14,0,16,0,14
Personal Finance Backend,com.example.personalfinance.domain.asset,QuantityUnit,0,63,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.asset,Asset,0,6,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.asset,AssetType,0,84,0,0,0,7,0,3,0,3
Personal Finance Backend,com.example.personalfinance.exception,GlobalExceptionHandler,0,59,0,0,0,11,0,7,0,7
Personal Finance Backend,com.example.personalfinance.exception,ApiException,0,10,0,0,0,4,0,1,0,1
Personal Finance Backend,com.example.personalfinance.exception,UnbalancedJournalException,0,6,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.exception,InsufficientQuantityException,0,5,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.exception,BusinessException,0,6,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.exception,NotFoundException,0,7,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.planning,Budget,0,3,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.liability,LiabilityType,0,35,0,0,0,4,0,3,0,3
Personal Finance Backend,com.example.personalfinance.domain.liability,Liability,0,6,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.mapper,DtoMapper,0,280,0,18,0,22,0,17,0,8
Personal Finance Backend,com.example.personalfinance.domain.reconciliation,Reconciliation,0,3,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.reconciliation,ReconciliationStatus,0,21,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.domain.account,AccountCategory,0,49,0,0,0,5,0,3,0,3
Personal Finance Backend,com.example.personalfinance.domain.account,Account,0,6,0,0,0,2,0,1,0,1
Personal Finance Backend,com.example.personalfinance.service,ReconciliationService,0,105,0,4,0,18,0,5,0,3
Personal Finance Backend,com.example.personalfinance.service,AccountService,0,134,0,0,0,19,0,8,0,8
Personal Finance Backend,com.example.personalfinance.service,AuthService,0,107,0,2,0,16,0,4,0,3
Personal Finance Backend,com.example.personalfinance.service,ReportService,0,433,0,24,0,37,0,19,0,7
Personal Finance Backend,com.example.personalfinance.service,TransactionService.Filter,0,21,0,0,0,1,0,1,0,1
Personal Finance Backend,com.example.personalfinance.service,PortfolioService,0,456,0,28,0,68,0,30,0,16
Personal Finance Backend,com.example.personalfinance.service,LedgerService.LedgerSnapshot,0,107,0,6,0,7,0,13,0,10
